,database-id,groupID,gender,age,computerUse,brand,silent,defaultNotification,city-start-time,city-end-time,city-alert1-time,city-alert2-time,city-alert3-time,city-wpm,beach-start-time,beach-end-time,beach-alert1-time,beach-alert2-time,beach-alert3-time,beach-wpm,airport-start-time,airport-end-time,airport-alert1-time,airport-alert2-time,airport-alert3-time,airport-wpm
0,644057ba4a65a55c7447191b,A-8558,male,22,4-7,Samsung,2,False,1681938211146.0,,1681938308757.0,1681938344765.0,1681938266349.0,31,1681937847500.0,1681937998508.0,1681937882708.0,1681937920318.0,1681937949126.0,59,1681938029329.0,1681938180331.0,1681938119758.0,1681938072533.0,1681938098146.0,74
1,644060395db95bbee031bb07,B-5983,female,32,4-7,Apple,5,True,1681940022902.0,1681940173908.0,1681940130923.0,1681940098117.0,1681940071709.0,41,1681940386551.0,,1681940443357.0,1681940499374.0,1681940476965.0,50,1681940204728.0,1681940355732.0,1681940278341.0,1681940242333.0,1681940294365.0,50
2,64406d6a9d88dcc1a74ed547,C-366,male,24,10+,Other,1,False,1681943763656.0,,1681943802861.0,1681943862877.0,1681943846069.0,49,1681943400014.0,1681943551015.0,1681943483245.0,1681943458433.0,1681943441620.0,36,1681943581832.0,1681943732833.0,1681943669045.0,1681943627437.0,1681943678654.0,1
3,6440722c5b80d645c4596202,D-3762,other,29,8-10,Apple,5,True,1681944617653.0,1681944768660.0,1681944663261.0,1681944700069.0,1681944733689.0,68,1681944981304.0,,1681945066116.0,1681945077320.0,1681945032509.0,101,1681944799479.0,1681944950480.0,1681944863515.0,1681944830685.0,1681944842693.0,68
4,64407bcf0a830617c2d6525b,A-1676,male,18,8-10,Apple,2,True,1681947448297.0,,1681947528316.0,1681947542725.0,1681947505901.0,45,1681947084643.0,1681947235652.0,1681947133446.0,1681947143856.0,1681947182263.0,53,1681947266472.0,1681947417476.0,1681947397701.0,1681947326479.0,1681947369693.0,5
5,6442fbfa0139e7f9b5c8c8c5,B-2695,female,20,4-7,Samsung,2,True,1682110967500.0,1682111118507.0,1682111063556.0,1682111034725.0,1682111015511.0,50,1682111331160.0,,1682111378365.0,1682111439196.0,1682111410391.0,60,1682111149328.0,1682111300331.0,1682111217339.0,1682111191733.0,1682111259747.0,81
6,6443025f435e57ed9db41922,C-7434,female,35,4-7,Apple,5,False,1682112968640.0,,1682112996647.0,1682113072669.0,1682113037461.0,84,1682112604991.0,1682112755995.0,1682112710627.0,1682112695420.0,1682112657000.0,57,1682112786816.0,1682112937820.0,1682112855632.0,1682112817221.0,1682112883646.0,103
7,64430932368b5b5fb57a59d7,D-9820,male,25,8-10,Apple,1,True,1682114352150.0,1682114503156.0,1682114385757.0,1682114398564.0,1682114408973.0,57,1682114715800.0,,1682114783815.0,1682114808629.0,1682114751806.0,82,1682114533976.0,1682114684979.0,1682114595626.0,1682114567581.0,1682114581190.0,74
8,6443143d7166151e87a9d726,A-3801,male,37,10+,Samsung,2,True,1682117360656.0,1682117511659.0,1682117439078.0,1682117390261.0,1682117405469.0,30,1682117542480.0,,1682117604094.0,1682117635301.0,1682117568085.0,19,1682117178830.0,1682117329836.0,1682117237237.0,1682117256445.0,1682117286053.0,39
9,64431a1058018c7549a04eda,B-4077,male,21,8-10,Apple,4,True,1682119033769.0,,1682119083373.0,1682119135396.0,1682119109784.0,39,1682118851944.0,1682119002947.0,1682118900806.0,1682118880776.0,1682118928821.0,41,1682118670121.0,1682118821124.0,1682118731742.0,1682118718933.0,1682118698926.0,38
